DateTime,Entries,UniqueIPs
1583632806,2387,2387
1583634607,2355,2355
1583636407,2310,2310
1583638207,2301,2301
1583640007,2422,2422
1583641808,2297,2297
1583643608,2295,2295
1583645406,2363,2363
1583647206,2430,2430
1583649007,2360,2360
1583650807,2281,2281
1583652606,2308,2308
1583654406,2354,2354
1583656206,2415,2415
1583658006,2461,2461
1583659807,2524,2524
1583661606,2474,2474
1583663408,2374,2374
1583665206,2408,2408
1583667006,2437,2437
1583668806,2388,2388
1583670606,2404,2404
1583672406,2465,2465
1583674206,2542,2542
1583676004,2635,2635
1583677804,2692,2692
1583679605,2735,2735
1583681405,2794,2794
1583683205,2920,2920
1583685005,3112,3112
1583686805,3295,3295
1583688604,3431,3431
1583690405,3543,3543
1583692203,3615,3615
1583694004,3710,3710
1583695804,3968,3968
1583697603,3866,3866
1583699404,3794,3794
1583701204,4226,4226
1583703004,4496,4496
1583704803,4579,4579
1583706604,4734,4734
1583708403,4831,4831
1583710204,5000,5000
1583712004,5188,5188
1583713804,5381,5381
1583715603,4824,4824
1583717404,4602,4602
1583719205,3689,3689
1583721006,3282,3282
1583722805,2912,2912
1583724607,2726,2726
1583726407,2518,2518
1583728207,2286,2286
1583730008,2200,2200
1583731808,2500,2500
1583733608,2644,2644
1583735408,2854,2854
1583737208,2886,2886
1583739008,2804,2804
1583740809,2763,2763
1583742609,2779,2779
1583744409,2990,2990
1583746209,3749,3749
1583748009,4379,4379
1583749809,4932,4932
1583751609,5367,5367
1583753408,5642,5642
1583755208,5975,5975
1583757008,6243,6243
1583758808,6617,6617
1583760607,7633,7633
1583762408,9313,9313
1583764207,9860,9860
1583766007,10533,10533
1583767807,11144,11144
1583769605,11638,11638
1583771405,11975,11975
1583773206,12384,12384
1583775004,12782,12782
1583776804,13112,13112
1583778604,13536,13536
1583780404,14033,14033
1583782204,14021,14021
1583784003,14015,14015
1583785806,13988,13988
1583787603,14095,14095
1583789403,13691,13691
1583791203,13444,13444
1583793002,13320,13320
1583794804,13091,13091
1583796603,13136,13136
1583798402,13211,13211
1583800202,13210,13210
1583802002,13174,13174
1583803803,13094,13094
1583805602,10747,10747
1583807402,10465,10465
1583809203,9958,9958
1583811002,9543,9543
1583812802,9080,9080
1583814603,8884,8884
1583816402,8674,8674
1583818202,8500,8500
1583820003,8452,8452
1583821803,8330,8330
1583823602,8215,8215
1583825402,8222,8222
1583827203,8212,8212
1583829002,8184,8184
1583830801,8143,8143
1583832603,8078,8078
1583834402,7936,7936
1583836202,7909,7909
1583838002,7980,7980
1583839802,8034,8034
1583841602,8027,8027
1583843403,8005,8005
1583845202,8066,8066
1583847003,8208,8208
1583848802,8086,8086
1583850603,8119,8119
1583852403,8132,8132
1583854202,8226,8226
1583856003,8422,8422
1583857803,8457,8457
1583859603,8530,8530
1583861403,8580,8580
1583863202,8541,8541
1583865003,8578,8578
1583866803,8588,8588
1583868602,8588,8588
1583870402,8764,8764
1583872202,8764,8764
1583874003,8817,8817
1583875803,8874,8874
1583877603,9078,9078
1583879403,9132,9132
1583881203,8964,8964
1583883002,8827,8827
1583884802,8965,8965
1583886602,8890,8890
1583888403,9032,9032
1583890202,8852,8852
1583892003,8902,8902
1583893802,9022,9022
1583895603,8986,8986
